text,sentiment
"Mild SPOILERS contained herein. I'm spoiling this film to save you the trouble of having to watch it. Jet Li's movies fall into one of two categories: Shaolin period movies and movies set in modern-day Hong Kong revolving around Triads or Triad like organizations. Each genre has its best and worst films. `Twin Warriors' is Jet Li's best Shaolin era flick while `The Evil Cult' is his worst. `Fist of Legend' while in the recent past is the best `modern era' Jet Li movie. `Black Mask' without a doubt is the worst.Jet Li plays a self-exiled mercenary who received an injection that gives him superhuman ability, but shortens his life span. In his `new life' in exile he plays a pacifist librarian. When his old mercenary squad goes on a rampage, Jet Li becomes a vigilante determined to stop them. He dons a very silly corrugated cardboard mask so as to conceal his identity from the police (and public) as a librarian, as well as to conceal his true identity to his ex-comrades in arms.The version I saw was dubbed, and horribly at that. Why does Jet Li capture and hold hostage his library co-worker if he's a pacifist? Is there a love story between them? Why does the police chief not care when he learns of the Black Mask's true identity? The plot is just plain BAD. Bad by way of the superhero cheesiness, bad in the sense that characters are never properly developed, bad in its character interactions, all topped off by a half-explained story I quickly lost interest in. The action and martial arts sequences are way over the top. Lots of blood, gore (severed body parts aplenty), explosions, and Matrix style superhuman martial arts fiascos are present in the film. Unfortunately this is the films best and only selling point. If you want to see Jet Li playing a vigilante superhero in a Mission Impossible style movie `Black Mask' delivers. For the rest of us Jet Li fans it is a true disappointment. This is one of those movies where Jet Li never gets to be Jet Li: he gets neither the chance to charm us with his charisma, nor a chance to impress us with his impressive yet realistic martial arts ability. Normally a Chinese knockoff of Ozzy Osbourne would be enough to engross me in a film, sadly `Black Mask' proved to be an exception to that rule. Indeed the antagonist of this movie, by the way he dresses, his long straight hair, and trademark round sunglasses looks like the modern and aged Ozzy Osbourne. However the villain isn't on-screen long enough to make the gimmick worthwhile. I am assuming the likeness to Ozzy was intentional; in addition to the villain's look, he also ran a satanic looking hideout. So much more could have been made from the Ozzy Osbourne villain gimmick! If only the writer, director, or ANYONE had bothered to give a background to and develop the character of the film's arch villain!`Black Mask' was the first Jet Li film released on video in the USA after Lethal Weapon 4, and I'm glad I stayed away from it until now. It may well have ruined my whole perception of Jet Li as a martial artist and actor. If you want to see Jet Li at his worst, rent `Black Mask' and `The Evil Cult' and make it a double feature or horror, both intentional and unintentional. Otherwise stick to moves that utilize the talents of Jet Li, and have plots that are semi-well thought out and plausible. 3/9 stars.",negative
"Directed and co-written by Eytan Fox the writer/director of the highly acclaimed 2002 mini feature ""Yossi & Jagger"" (2002). This comparative epic, at 1hr 53 minutes, is another fine romantic drama in which we must deal with tragedy as well as celebrate the beauty and joy in life. Westerners, especially urban gay men like myself, need to be moved outside our safety zone and be informed of the real life and death struggle elsewhere to be able to love with equity.While ""Yossi & Jagger"" focused on a pair of gay lovers in the closeted confines of Israeli military service, ""Ha Buah"" is centred on a group of civilian friends, both straight and gay, who share a unit in the heart of Israel's generally gay-tolerant, but not always gay-friendly, capital Tel Aviv.""Ha Buah"" opens with a dramatic border check point scene in which Noam (Ohad Knoller  Yossi from ""Yossi & Jagger"") first meets handsome young Arab Ashraf (Yousef Sweid). Romance soon blooms  but in that political climate opportunities would have to be seized quickly or lost altogether.From there we follow an intricate interplay among the members and lovers of the housemates and the unavoidable effect of Ashraf's very conservative family. If you follow this film's dialogue attentively enough then you will have no reason to be disappointed with the ending.The soundtrack for ""Ha Buah"" is vibrant and the visuals are both beautiful and stark  i.e. real life in the Middle East.The English subtitles are very easy to follow and you quickly relax and appreciate world cinema at its best.",positive
"This movie is a riot. I cannot remember the last time I had such a great time at the movies. I've seen a few good comedies in my time and usually they are pretty funny. But this one is wall to wall great lines. I think Best in Show is the last movie that I laughed so hard and so much in. The movie was non-stop until the end when they did the 5 minutes of sentimental plot clean up. Other than that it's a constant barrage of one liners and goofy situations. I'd like to see it again before it leaves the theater because this is like the Zucker movies where you don't get all the jokes the first time around. You have to see it two or three times to get it all in.As far as the actual film goes, it could have used a better edit, it's choppy at times but we have to be forgiving for that. All the characters are great. It's not like an Adam Sandler movie where he tries to be funny and everyone else suffers around him and is the butt of the joke. I think I will remember all the main characters for years to come because they are all so likable. No victims in this movie. Also, thank God they got a 45 year old actress to play his girlfriend. Catherine Keener plays her and she is a sweetheart in this film. You just wish that women like her really existed. She's not a ""10"" like some of the other leading ladies but somehow her smile is warmer than Julia Roberts overdone overbite.If you see the trailer for this film you may not think too highly of it. I assure you, the trailer does not do it justice. They do not give away all the good jokes. Just some of the mediocre ones.Oh and one more thing. I hope critics put this on their top ten list. Many of them complain that comedies don't get the recognition they deserve and then at the end of the year they don't put it on their list. This means you Ebert!!!",positive
"I thought it was an extremely clever film. I was very pleased with it and truly couldn't' ask for more. I actually own the film because I didn't return it to someone... Which I should do, but I really want to keep it due to how much I enjoyed it. Also, the fact I don't own too many foreign films and this is a first. Now, I personally love Finnish stuff so, that definitely added to how much I enjoyed it. But overall, its worth watching. However, if you're not into the whole trying to understand Finnish or read Subtitles bit, then this film is not for you.9/10 for sure.",positive
"Savaged when it came out, this film now looks handsome and sounds great. A feast of intelligent thoughtful acting, from Gielgud, Kenneth Haigh, Harry Andrews and especially Anton Walbrook,and a moving central performance from the beautiful and incredibly young Jean Seberg. Preminger doesn't jump around and show off- his long slow takes encourage you to listen and reflect, and Graham Greene's script condenses Shaw without sacrificing complexity.The piece has the look of a made for TV movie, and is certainly studio bound but none the worse for that. Too many contemporary movies on 'historical' themes cannot resist dumbing down. What would Mel Gibson have made of the Maid? Many drooling shots of her on the rack probably, then crisping up on the BBQ as the flames take hold. Preminger does none of this. The burning is shown mainly through a guilt-stricken reaction. There are a few weak performances, but not enough to cause any serious damage. I caught this movie on TV and was not expecting to watch it through, but I was gripped . In our age of religious fundamentalism and sacrifice, Joan's story has unexpected resonance.",positive
"this movie offers nothing but the dumbest conversations possible. as a matter of fact i most probably could not have imagined how meaningless a film, how synthetic the dialogs could be until an hour ago, but then again i saw this video. in a movie that does not depend on a powerful script, one expects to see at least good acting and tasty conversations and even some humor maybe, yet this movie lacks them all. you heard me it lacks them all. there is not a single point i like about this movie, none. i hate it. i'm sure anyone will do so too. the name is intended to give the target audience some thoughts of nudity and stuff, yet it fails even at the nudity. i don't know how but i beared to watch this thing for an hour or so, and i definitely recommend you don't do so. worst movie i've seen in my entire life. if someone offers you to watch it, ruuun awaaaaay saaaaaave your liiiiiiiiife",negative
"Just a note to add to the above comment. Fear of a Black Hat doesn't have the criminal who's image has been ripped off by the band, that's in CB4. Easily confused as the two films are so similar, but Black Hat is vastly the superior of the two..... yeah.",positive
"I think that can sum up this show about as well as anything. Batman TAS may be the worst thing to ever happen to cartoons based on comic books because everything that comes after will be compared to it and nothing has measured up yet. It's just too damn good. Was Batman Beyond good? ""Yeah, but it was no TAS."" Is Justice League good? ""It's not too bad, but it's no TAS.""The Batman is certainly no TAS, either, but I won't hold that against it. It would be unfair and besides, it has plenty of other problems with it.The concept of a younger, less experienced Batman fighting crime is a fine one, and at times the art is very nice. But all of the rest of the time, the art is worthless Americanime, and this betrays a lot of the flaws of the show itself. It is paced, written, and designed like an Americanime. If I wanted to watch Jackie Chan Adventures, I'd watch Jackie Chan Adventures. Or I could just bang my head into a wall any time and get the same effect. The Joker is a homicidal, mentally unstable clown in a suit who uses his wits, unpredictability, and clever gadgets to fight Batman. When he is forced to fight hand to hand, he will either resort to something cheap or be totally outmatched. He is not meant to be a monkey with dreadlocks who knows kung-fu and can leap into twenty feet into the air, accompanied by speed lines. If they had wanted to do that with a villain, there were other less important characters they could have used or *gasp* they could have created a new one entirely. And it's not that re-imaginings are a bad thing, don't get me wrong. TAS (there I go again) took Mr. Freeze from your standard icegun-wielding B villain and made him into a memorable and morally complex character. Of course Freeze wasn't exactly a classic villain at the time and they performed an upgrade, but the point stands. What The Batman does is it takes everything you liked about Batman comics and lore and takes a large, smelly dump on them. Guess what? They were eating corn.It's obvious this show can't stand against TAS but stand it on its own legs and it still doesn't work for me. The plots aren't good and they don't develop any better. They've been written for the demographic of children under twelve. Should children be able to enjoy a show? Of course they should. This shouldn't be an adult show with swearing, nudity, and gratuitous violence. But the mark of a truly good show is that it can be enjoyed on different levels by all ages. This show misses that mark.Is this show a TAS? No, of course not. The problem is it's not even a JLU.",negative
"Creature Comforts in America should have been released on a different network, or at least been given the chance to have its full run of episodes. Unfortunately, this was not the case. Given that American audiences (seemingly) have the attention spans of a gnat when it comes to the humor that does not consist of profanity laced diatribes, or has a preoccupation with scatological functions (both sound and smells), shows like this will be few and far between. One of the main problems was that however brilliant it was, it was made for a rarefied audience who knew what to expect but was viewed by an audience and board rooms that did not have a clue at to what they were watching. Which is sad, but not unexpected. I would have liked to have seen at least three more seasons of this show even if it was produced for direct DVD release. The material and the interactions between the creatures were rich with sub context and there were other conversations just waiting to be had under the surface. But thanks to Political Correctness, such conversations take place only in my mind.",positive
"Noel Coward,a witty and urbane man,was friends with Louis Mountbatten.Mr Coward,a long-time admirer of all things naval,was commissioned to write a story loosely based on the loss of Mountbatten's ship.In a peculiarly British way it was considered that a film about the Royal Navy losing an encounter at sea would be good propaganda.It was also considered a good idea to have Mr Coward play the part of the ship's captain.Amang the many qualities needed to command a fighting ship,the ability to speak in a very clipped voice and sing sophisticated ""point"" songs does not come very high up the list at Admiralty House,or at least one would hope not.A captain must earn and retain the respect of the wardroom and the lower deck alike. Mr Coward might have had the respect of the gentlemen of the chorus at Drury Lane and Binkie Beaumont might have been terrified of him but his ability to tame,mould and direct a ship's crew in wartime must be brought into question.He folds himself languorously around the bridge,patronising the other ranks and barking orders at the officers,he only needed a silk dressing gown and a cigarette holder to seem right at home. Much is made of the ""warship as a microcosm of British Society""theme,and the crew largely comprises of the usual cheery cockneys,canny northerners etc.without whom no war can be fought.They spend most of their time on board smoking,moaning about Lord Haw Haw and getting blown up. Never mind,there's plenty more where they came from.Once ashore they go straight to the pub where they spend most of their time smoking,moaning about Lord Haw Haw and getting blown up .By contrast Mr Coward lives in a dream cottage with a rose covered door somewhere very quiet with very little chance of getting blown up.He,his lady wife and their two rosy cheeked cherubs converse in ludicrously convoluted tones and said lady wife spends much of her time knitting things for the poor unfortunates who comprise his crew and who she refers to by their surnames.That nice young master Johnny Mills has a prominent role as a completely unbelievable lower deck type who worships Mr Coward in much the same way as a thrashed dog will worship its master.He marries his girlfriend after kissing her on the cheek,presumably on the grounds that she might be pregnant after such unfettered passion. So yes,we do have a microcosm of British society here,but perhaps not in the way the makers of ""In which we serve"" intended. At the end Mr Coward gets one last chance to patronise his men as the few survivors shuffle past him,""Goodbye Edwards,it was a privilege to sail with you""he enunciates as if he was reciting ""How now brown cow"". It may have been David Lean's feature debut,but the hand of Noel Coward looms large right across this picture.He was a funny and clever man,better suited to writing waspish plays about poor little rich girls and boys interspersed with the occasional wry song.He had a talent to amuse,no doubt,but he could neither write nor speak convincing dialogue. Being Noel Coward was a full-time job,he had no time to be a real person.",negative
"Still the definitive program about the Second World War, The World At War isn't just long, but also very informative. The series contains 26 episodes (each episode lasts for about 45 min.), and includes the events leading up to and following in the wake of the war. Most episodes are about the war in Europe, and there are several episodes about the war in the Pacific. Other episodes include information about the wars in Africa, Burma, the Atlantic and the home fronts of Germany, Great Britain, United States and Soviet Union. There is one episode that's dedicated to the Holocaust. The series starts off with the episode A New Germany (1933-1939), and tells about the rise of the Nazis in Germany and German territorial gains prior to the outbreak of war. The series ends with the episode Remember; the war's influence in a post-war world. Remember is a fitting episode to end this great program. Every episode begins with a short introduction and then with opening credits. The credits are accompanied by a powerful music theme. There are many fitting music pieces throughout the series. Each episode is like a mini-film. The footage is fantastic, and so is the way it was put together. In addition, some of the footage is in color. The information included also makes the episodes memorable and entertaining.The series was produced by Jeremy Isaacs for Thames Television (UK). Commissioned in 1969, it took four years to produce, such was the depth of its research. The series was narrated by Laurence Olivier (one of the most famous and revered actors of the 20th century). The series interviewed leading members of the Allied and Axis campaigns, including eyewitness accounts by civilians, enlisted men, officers and politicians, amongst them Albert Speer, Karl Donitz, Jimmy Stewart, Bill Mauldin, Curtis LeMay, Lord Mountbatten, Alger Hiss, Toshikazu Kase, Arthur Harris, Charles Sweeney, Paul Tibbets, Traudl Junge and historian Stephen Ambrose. Jeremy Isaacs says in ""The Making of The World at War"" that he sought to interview, not necessarily the surviving big names, but their aides and assistants. The most difficult subject to locate and persuade to be interviewed, according to Isaacs, was Heinrich Himmler's adjutant, Karl Wolff. The latter admitted to witnessing a large-scale execution in Himmler's presence.The World At War is often considered to be the definitive television history of the Second World War. Some consider it the finest example of the documentary form. In a list of the 100 Greatest British Television Programmes drawn up by the British Film Institute in 2000, voted for by industry professionals, The World at War ranked 19th. The program has everything that the viewer needs to know about the war. After watching a few episodes I liked the series so much that I tried to watch the remaining episodes one after the other. I've seen some of them several times. There are two other great documentary series that I know of that may be of interest to the viewer. One is called The Great War (1964) that's about World War I. The other is called Cold War (1998) that's about the Cold War obviously.",positive
"Contains spoilers The movie plot can be summarized in a few sentences: Three guys go hunting in the forest. Two of them along other people get shot in the head without explanation. The last guy can stand in the clear, shout and do anything without getting shot. He gets to walk through an old factory and has the evil people walk right into his scope without a struggle. The villains are conveniently dressed in black and look like villains.That is the whole story, not summarized but in detail. Everything is drawn out with a guy standing ringing a door bell. We wait with him. Long shot of guys being bored in the woods and sleeping. We can take a nap with them. The one drawn out shot of following a female jogger could have been redeeming, if we could see her butt or boobs bouncing.There dialog is less then Terminator and it is not because there is so much action. The characters just don't talk. And, then they don't even have something corny to say like 'I'll be back.' If my buddy shot this on the weekend, I'd cheer for him, because it is quite a feat to figure out the camera controls. To pay money to rent this as a DVD is totally inappropriate.The one thing that is a little funny is the extra with the director telling, how they local police didn't realize that they were shooting and treated them like a random guy walking around with a gun. If they'd have filmed that, I'd be sure it would be more fun to watch then the movie.",negative
"I am very unpolitically correct guy, so when I say sexist I really mean it reduced the female guest lead, Dr Miranda Jones played by Diana Muldar. in spite of all her supposed brilliance and self control, to nothing more inside but a big, jealous unreasonable baby You prolly got the plot by now, after her technical sidekick Marvik, also a spurned lover, flips out when he tried to kill the Medusan, Ambassador Kollos, out of a jealous rage, but glimpsed first it instead. (You think he could have just walked in to the room with his eyes shut and phasered the box, too easy) he takes the Enterprise into un-navigable space outside the galaxy before the boys could subdue him. Well, the ship is stuck in limbo, at that point they could have gone to the good lady doctor-liaison and discussed it. ""Spock has to make a mind meld with the Medusan so we can get home. I mean like beetch do you want to stay adrift until we run out of supplies and die?"" But the lady in true Star Trek fashion is a jealous monsters who whines and wails when the idea is broached, even when her Medusan idol told her to shut up & go along with them. So the beetch out of spite messes with the melded Spock causing him to forget to put on his visor which makes Spock go insane. Kirk, naturally, figured out what a total twit she was and shamed her into fixing Spock up with her superior telepathic powers. Of course, at the end the Lady and Medusan leave and all is forgiven. You almost wish the President from Battle Star Galactica showed up to jettison the witch out of an airlock for her destructive stunt. But in Star Trek land, ladies are permitted to be totally unreasonable and cruel, yet at the same time supposedly there is sexual equality. This is what I mean by sexist.",negative
"I had VERY low expectations for this alleged ""re-imagining"" of the original -- and they weren't even met! What were they thinking? (Answer: They weren't.) Please don't waste your time on this Hollywood trash fest. Clip your nails, balance your checkbook, do anything besides watch this. Remember: If you rent stuff like this, it will only ensure they make more.",negative
"This is by far one of the better made movies and didn't leave me disappointed at all. The sound track along with finely shot hand-held camera work was exquisite . The are always chances a movie won't hold ones beliefs as well as another, but I felt that rhythm of this picture and the timing was excellent. Dakota Fanning is rapidly becoming a staple in movie that require a child with an old soul personality and she has never disappointed me with her talent. As for Mr. Washington and of course Christopher Walken they both exceed the challenge of showing the darkest sides of humanity trying to move to the light.",positive
"Clint Eastwood returns as Dirty Harry Calahan in the 4th movie of the Dirty Harry series. Clint is older but he's still got it, Harry was told to have a vacation after some trouble that happened because of a robbery (where the memorable ""Make My Day"" catchphrase comes from!) But the city he took a vacation was worse, a woman turned vigilante after a rape attack in a funfair and starts getting the punks one by one. The last movie to see Sandra Locke in a Clint Eastwood movie! An improvement after The Enforcer which was a bit more of a comedy and less serious. Clint Eastwood's sunglasses were Gargoyles which are best known for the sunglasses that are worn by Arnold Shwartzeneger in The Terminator. Worth a watch if you like Clint Eastwood, the Dirty Harry films or like action crime thrillers.",positive
"Although the likeliness of someone focusing on THIS comment among the other 80+ for this movie is low, I feel that I have to say something about this one. I am not the kind of movie-watcher who pays attention to production value, thought-provoking dialog, or brilliant acting & directing. However, I claim that this movie sucks. I don't know why I don't like it... I mean it has almost everything i want out of a horror movie: blood, outrageousness, unintentional humor, etc. According to this evidence it should be my favorite. Still, Zombi 3 is a baaad movie.There are just too many things that compels you to yell at the screen. Like when the girl leaves the army guy when their car breaks down to find water (this spoils nothing so don't worry). She walks into what I see as an abandoned hotel or something. Did she not see that there was a friggin' lake in the middle of the building??? Yes she's looking for water and passes up a lake. Why? Cuz she wants to know why the people (who aren't there cuz the place is abandoned) won't answer her when she calls out: ""Is anybody there?"" Oh this is just a little, insignificant piece of the big picture I'm painting.There is a reason, though, why I gave this film more than 1 star. It's one of those movies where if you forget how bad it really is, like I have a few times, you'll want to watch it again because it's just so over-the-top in every aspect. I called it blood in the first paragraph, but this movie has no blood, it has an ocean of gore. Also, it has pretty weird creatures in it as well: a zombie-baby (with an adult-size hand???) and a magically flying head to name just two.You know when you try to think of the worst and cheesiest movies ever made and you come up with '50's sci-fi movies? I believe that Zombi 3 and movies like it should top those. It has all the elements: scientists arguing with the government, warnings of the apocalypse on the radio, armies battling monsters, and so on. This IS the Plan 9 of the '80's! While I won't say that this is a waste of money if you want to buy it, just expect the very worst. And when you find out that expecting the worst is underestimating Zombi 3, it won't be all that bad. You might actually like it, I'm not saying that's impossible.Don't think I hate this movie, I don't... really. Oh, P.S. Killing Birds (aka Zombie 5) rules! (did I just blow my credibility?)",negative
"*Spoiler warning*First of all I rated this movie 2 out of 10.The idea is good, but there are too many stupid errors in the movie, failing to make it the psyching drama that it might have been. First of all she never fights alone. After an initial very strange doubt from her mother (which is not believable when the mother proves to be so supportive and loving later in the movie) the rape victim is not alone. She is also unbelievably naive always falling into the Crew's strange traps. Her friends are unbelievably nasty.The thing that I find most unbelievably is that Ethan fails to control the crew when he changes his opinon. Ethan is very much the leader of the Crew (hey, they even say so) and people seem to think the other guy is a jerk, but when Ethan changes his opinion he just doesn't manage to convince even one single person in the Crew that he is right and that his former friend is wrong. Everyone just simply hates him... why?? The movie provides no explanation. How did he ever become the leader?A funny note is that my girlfriend thought I was watching Beverly Hills when she came in. Two actors from the same successful TV-series.... a cheap way to get viewers?",negative
"The Sunshine Boys is a terrific comedy about two ex-vaudevillians who reluctantly reunite for a TV special despite the fact that they despise each other.The comic genius of two masters at work, George Burns and Walter Matthau are stellar! Some of the best scenes are when the duo is fighting over the silliest little trivial things! The material is fast-paced and witty, appealing to all ages.MILD SPOILER ALERT: There are some mildly sad moments toward the end of the movie that deal indirectly with the affects of aging that gives the film a soft, sincere, tenderness that shows to this reviewer that what the pair really need the most for success, are each other.If anyone loves The Odd Couple, you'll adore this movie. An excellent film!",positive
"i saw this film by accident and this movie was an accident...well it must of been. blonde women being stalked,the villain appearing then disappearing getting from one place to another in minute's then disappearing and reappearing,hiding.he was'nt even a super hero so i don't know how he did it.he could'nt frighten a cat and that's not hard to do.the old ""mirror in the bathroom""is just not scary anymore in fact it stopped being scary years ago. you had the cop on the trail of the villain,another cliché(played by idris elba with a very convincing American accent,he's from London) the director did'nt have a clue and has made a film full of cliché's and make's ""scary move""which was a COMEDY look scary. pathetic!",negative
