review,sentiment
"Never had I seen such a powerful true story movie. I discovered a city, a country, a lost revolution and even a Nobel prize winner thanks to this masterpiece of cinema.<br /><br />If you haven't seen this movie, you can't say you've seen anything .<br /><br />A great lesson of courage, humility and life.<br /><br />I haven't seen anything as good since.<br /><br />T.E. Saturday, January 9th, 1999",positive
"Lucille Ball tries to look 30 years younger than she actually was in this poor excuse for a musical.<br /><br />The movie features some of the worst choreography ever seen laced with the constant threat that Lucy might break into song with her bourbon voice at any moment. Lucy's total lack of talent as a singer and dancer sinks the film before it can begin and aside from die-hard Lucy fans, no one is likely to fancy it very much. Bad costumes and cheesy set designs don't help. Further proof that Lucy wasn't good at anything except making stupid faces.<br /><br />Directed by Gene Saks.",negative
"That's the worst film I saw since a long time. Historic accuracy is totally non-existent. For example, James Wolfe, who his depicted as an anti-French Canadian, is shown in London during the summer of 1759. Natives are like Indians of a bad Hollywood movie of the 60's : They wear deerskin clothes and ride horses (The Montagnais had never ride horses). The film is taking place in Quebec City, but footage is set in Louisbourg, showing the Atlantic Ocean.<br /><br />The original scenario was supposed to include the Battle of the Plains of Abraham, but the producers drop this idea saying that costs for uniforms and participants would be more than 4 millions dollars ! I think they never heard about re-enactment.<br /><br />All the movie is planned to be a new Titanic : an impossible love during an historic tragedy (the fall of New-France). There's even a song performed by Celine Dion at the end of the movie (Yes, I stayed till the end of the movie, but I deeply regret). But the worst thing of all is that this movie cost 30 millions dollars. I just don't know how they spend all this money.<br /><br />Sorry for my anger, but I'm just too irritated.",negative
"I saw this film in a sneak preview, and it is delightful. The cinematography is unusually creative, the acting is good, and the story is fabulous. If this movie does not do well, it won't be because it doesn't deserve to. Before this film, I didn't realize how charming Shia Lebouf could be. He does a marvelous, self-contained, job as the lead. There's something incredibly sweet about him, and it makes the movie even better. The other actors do a good job as well, and the film contains moments of really high suspense, more than one might expect from a movie about golf. Sports movies are a dime a dozen, but this one stands out. <br /><br />This is one I'd recommend to anyone.",positive
"This movie is not just bad, not just corny, it is repulsive. Something about Daphne, about the creepy call-girl, about the whole damn (and I use the word literally) film radiates a grotesquery that would offend a brothel mistress. This film makes my skin crawl, makes me regret having reproductive organs, and makes me feel unclean.<br /><br />One of the things that bothers me most about this movie is that they used such a good concept. A creature that makes fantasies with disastrous results, rather than the cliché Worst Nightmare and the overdone Twisted Wish, is a truly fascinating film idea.<br /><br />Thought: The reason why hobgoblins need to be killed before day is that they are attracted to bright lights. During the day, bright lights don't show up well, so they could go anywhere.<br /><br />Count the Hobgoblins: Four hobgoblins drive out of the film studio, and yet at least nine of the pernicious plush-toys are killed throughout the course of the movie.<br /><br />Discussion Question: If you had a frigid, demanding, unappreciative girlfriend, would you enter garden-tool-combat with a military chunkhead? Explain.",negative
"Travis and Sandy(Ben Johnson and Harry Carey, Jr.)are horse traders coerced into selling their animals to a Mormon group and guiding them across the frontier to a settlement. What they do not expect is to encounter the notorious Clegg murderers, with their wounded leader Uncle Shiloh(Charles Kemper). Ward Bond portrays Elder Wiggs, the main voice for the Mormon group moving the wagon train to the Lord's destination. Along the way, they also encounter ""Doctor"" A Locksley Hall and his ""Hoochey Koochey Wagon"" and lend them help.<br /><br />Lovingly directed by Ford who pays close attention to detail with realistic problems any group would encounter during a rugged wagon trail. The film has a wonderful cast made up of character actors with nary a true star in the film which is actually a blessing to see, if just not for a change of pace. Young Johnson and Carey, Jr. come off real well, but this is Bond's film to shine as he has the best lines. Johnson is the one who seems to understand ruffians and brutes like Shiloh and will certainly come in handy when certain conflict might develop as the Clegg boys ride along side them a piece.<br /><br />I'd have to say this is one of his best and most least appreciated westerns and seems to flow very well.",positive
James Franco is totally cool in this movie. Not just handsome and charismatic but genuinely open and vulnerable in a sincere kind of way. At the Tristan screening some folks were on his back for being pouty and sullen and doing the whole James Dean thing but I don't think this true. Blind Spot is proof positive of his tremendous talent. In this film he carries himself with a different sort of weight entirely. It's a unique performance. Bittersweet and really moving. The lines from his journal cut you like a knife. You sense a sharp intelligence of observation behind his words. The tone is everything. He carries it through the action and suspense as well as the grim bits of gallows humor. I like the other two actors a great deal too. The blonde girl is totally gorgeous and the man is hysterical in his twisted tough guy stoicism. Some of the thugs seemed a little sketchy but this is a mini-point really. The film is totally solid and Franco is way cool all around.,positive
"I find it sad that Christians (and I am one) feel that we must make movies like ""Left Behind."" We have much better stories to tell that don't have to be so preachy. I was very disappointed with this film. As an aspiring filmmaker who believes in Christ, I see this film as the perfect example for what I am not going to do with my career in film.",negative
"This was terrible, mean-spirited, and full of the worst clichés and racial stereotypes I've seen in a looong time. Seeing Hayden P trying to act ""ghetto"" was painful (hi, one pant leg up on yer sweats and some braids Downs't make you ""down with the homies""). Solange Knowles pretty much grimaces through the entire movie. Most of the set sequences look like they were filmed in cardboard boxes...what was up with the finale??? And poor Rihanna was just plain exploited to get people to watch her ""act"", which she can't.<br /><br />Put simply, this film Downs't even deserve one star. Please put this tired franchise to rest. Or at least make the next one Bring It On IV: Cheerleaders vs. Freddy & Jason.",negative
"I didn't expect much from this film, but oh brother, what a stinker.<br /><br />I found this gem in a giant crate of awful $5 DVD's at Walmart (where else)? As cheap as this disc was, I feel ripped off. The special effects had a high school look to them, the camera work marred by wobbly tripods and sketchy lighting and the acting was a perfect example of the 'Christian School'. One can imagine the long and exhausting 'prayer meetings' by the production company after seeing the rushes come back - the people who bankrolled this thing must have had seriously anti-biblical feelings towards the inept production company that cranked this thing out. Think of their anguish as they saw their $914.86 investment go up in smoke.<br /><br />Someone asked why Christian movies are so bad - perhaps the Xian film-makers need to look at GOOD movies and attempt to copy some of the things that make them so good. Believable stories and characters, less hysterical arm-waving and fanaticism, oh, and a story that appeals to -everyone-, not just true believers. I.e. Stop The Sermon, Save It For Church. Take the Omen or Prophesy series, for example. Excellent films with compelling story lines, great cinematography and intense music. No hysterical arm-waving. No preaching.<br /><br />If this film had a laugh track it would have been MUCH better.",negative
"Sidney Franklin's ""The Good Earth"" has achieved classic status thanks to a timeless story and superb acting, especially from Luis Ranier, who won an Oscar for her portrayal of O-Lan. Rainers performance is so complete, she is nearly unrecognizable. Having very little dialogue throughout the entire film (and it is a long one), Rainer relies instead on facial and body language. She looks and acts Chinese to the point that anyone unfamiliar with her work could easily mistake her as such.<br /><br />The film remains relevant today because it explores the rags to riches story and the universal themes that come with it. When Lung and wife O-Lan finally achieve financial success after years of famine and poverty, they find a life full of possessions but lacking in meaning. It is only when they return to the earth after fighting off a swarm of locusts (the special effects used to create them are still incredible and beautiful to watch) that they again find fulfillment. A common formula told with the unique perspective of a Chinese family (especially for 1937) makes the film a classic. Money isn't worth anything without friends and family, a point that the film drives home perfectly in it's last 10 minutes with an emotionally fulfilling conclusion.",positive
"Zeoy101?? Really, this has to be one of the most stupidest attempts to get people in my age group's attention. It's about some preppy girl named Zeoy and her friends that attends boarding school. BORING!!! All she ever does is whine and complain and acts like a spoiled idiot. I remember this show came out in 2005, I was 13 going on 14, and even then I thought it was pointless. The only episode I EVER liked was when the boys hid a camera in the girls dorm. THAT'S IT. Anyway, I just don't understand why Nickel-Oh my bad-Nick feels the need to syndicate this sorry poor excuse for ""entertainment"". serious this decade is becoming a joke every year and it gets worst and worst. What's with this generation??<br /><br />Anyway, R.I.P. Nickelodeon 1979-1998?/2005?",negative
"I watched this movie after seeing other comments on IMDb, even convincing my wife that it was a ""unique horror movie."" I wanted to like this movie, but was unable to.<br /><br />The ""love story"" was good, but the horror aspect was quite bad. If the story was just about a young man who fell in love with a girl suffering from parasomnia, then it would have been a better movie.<br /><br />The care centre stretched credulity well past the limits, in fact it was quite ridiculous. The doctor happily ignors privacy laws and professionalism. A nurse goes into a room for a routine feeding of a dangerous patient (without security escort), and drops the tray and runs out of the room screaming for no apparent reason. The forensic patient (and the film's villain) is tied up in a standing position fully clothed - apparently for years? None of it makes much sense.<br /><br />The movie even had some actors that I've liked in other things, such as the detectives, but still I can't recommend this movie.",negative
"The hurried approach that Lewis Seiler takes with King of the Underworld establishes a deeper plot, while still maintaining an efficient run-time. One of the clearest examples of this is the transition between poverty and wealth for the married medical couple. The audience is instantly transported from a shanty medical office to a luxurious suite at the city's most prestigious inn. This development is critical to understanding the position the doctors have been thrown into. The story suggests from the intro that these two people are generally happy with providing medical practice to those who are less fortunate. By abruptly cutting from this scenario to the morally conflicting occupation (the mob's personal physician), the viewer is called upon to experience this sudden turn of events. The Nelsons (Kay Francis and John Eldredge) are forcibly employed by Gurney (Bogart) without objections. This stylized notion of organized crime being too influential and powerful to overcome has become a standard component in every gangster picture. The one aspect of this film that raised some questions for me, ironically dealt with the pacing of the story, and that rate at which it was told. I think that character development and social identity can suffer when certain aspects of a story are not fully examined. This paradox happens to be a result of personal taste, in that I think that the movie going experience can be enhanced through rigorous character development. However, for the purposes of this film, I must admit that the rapid action contributes more dynamic flare to the impact of the film.<br /><br />**1/2 (of ****)",positive
"The movie is about Anton Newcombe. The music and careers of the two bands are simply backdrop. It's only fair that Newcombe have the last word about the film, which at this writing you can find in the ""news"" section at the brianjonestownmassacre website. I'd link it here but IMDb won't permit it.<br /><br />Documentarians are limited by what the camera captures, as well as by the need to assemble a cohesive narrative from the somewhat-random occasions when chance has put the camera lens on a sight-line with relevant happenstance. In Dig!, fortune smiled on the Dandy Warhols, capturing their rise to the status of pop-idol candidates, as they formed slickly-produced pop confections for mass consumption, most notably ""Bohemian Like You,"" a song that made them global darlings thanks to a Euro cell phone ad. <br /><br />No such luck for Brian Jonestown Massacre. The film captures little of what made the original BJM lineup great, with the sole exception of a single montage, lasting a minute or so, showing Newcombe creating/recording a number of brief instrumental parts, unremarkable in themselves, and concluding the sequence with a playback of the lush, shimmering sounds that had to have been in Newcombe's mind and soul before they could enter the world.<br /><br />Three commentaries accompany the film; one by the filmmakers, and two by the members of the bands (the BJM track is solely former members, and without Newcombe). Both the Warhols and BJM alumni point up this montage sequence as the ""best"" bit in the film, and I'd agree that, given the film's focus on Anton Newcombe, it is the only part of the film that sheds proper light on his gift, and seems too brief to lend proper balance to this attempted portrait of the ""tortured artist.""<br /><br />Interesting thing about commentaries is that, unlike film, they are recorded in real time -- one long take -- which can be more honestly revelatory than a documentary that takes shape primarily through editing.<br /><br />The Dandies do not come off well in their comments. If the rock and roll world extends the experience of high school life for its denizens -- as I believe it does -- the Dandies are the popularity-obsessed preppy types, the ones who listen to rock because it's what their peers do, while the BJM crew come off as the half-rejected, half-self-exiled outsiders (to insiders like the Dandies, ""losers"") that are the real rock spirit. BJM's Joel Gion, who talks a LOT, nails the film's message for me when he says (paraphrasing): ""You can't forget that Anton has been able to do the only thing he ever said he wanted to do. Make a lot of great music.""<br /><br />The Dandies, meanwhile, laugh too easily at every outrageous display in the course of Newcombe's meltdown (all the BJM footage here ends at 1997, before Newcombe quit heroin). Courtney Taylor-Taylor's discounting of Newcombe's commitment to his vision is summed up as follows: ""He's 37 and still living in his car. You can download all his work at his website. He was so tired of being ripped off by everyone else, he's giving it all away. He could be making a mint."" You can practically hear him shaking his head in disbelief.<br /><br />The film's shortcomings can't be blamed on the filmmakers; rather it's the difficulties of the documentary form, and the loss of cooperation by the film's subject, that makes this portrait of Newcombe so fragmentary. But it's likely the best we will get, outside of his music.<br /><br />I only rented disc one, which has the feature. Most of the extras are on disc two. Not renting that, as I've put in my order to buy the set.",positive
"Unhinged was part of the Video Nasty censorship film selection that the UK built up in the 80's. Keeps the gory stuff out of the hands of children, don't you know! It must have left many wondering what the fuss was all about. By today's standard, Unhinged is a tame little fairy tale.<br /><br />3 girls are off to a jazz concert... and right away, you know the body count is going to be quite low. They get lost in the woods, & wind up getting in a car accident that looks so fake it's laughable. They are picked up by some nearby residents that live in the woods in a creepy house. One of the girls is seriously injured and has to stay upstairs. Then there's talking. Talking about why the girls are here, and how they must be to dinner on time because mother doesn't like it when someone is late. And more talking. Yakkity yak. Some suspense is built as a crazy guy is walking around and harassing the girls, and someone's eyeball is looking through holes in the walls at the pretty girls in something that looks like Hitchcock's Psycho. I digress because there is so much blah blah in this film, that you wonder when the killings are going to start. In fact, one of the girls gets so bored out of her mind that she walks in the woods, alone, looking for the town. Smart move. She probably knew about the lonely virgin walking alone in the woods part, but just didn't care. More talk continues after this as we wait, wait, and wait some more until the next girl may or may not be killed.<br /><br />And then there's the twist ending. The ""expected"" unexpected for some viewers, for others a real gotcha. Quite possibly the ONLY reason why someone would really want to watch this. I don't care how twisted it is, nothing in this movie makes up for the most boring time I had watching it. Even with the minor impact of the ending, the director just didn't have what it takes to really deliver a good story with it. It would have made a much better 30 minute - 1 hour TV episode on say, Tales from the Darkside.<br /><br />If you really must get this for any reason, perhaps just to say you've watched every slasher movie, do yourself a favor and have the fast-forward button ready. Since the movie has so many unimportant scenes, just zoom through them, and in no time, you'll get to the ""WOW, that's what it was all this time"" ending. Oh and halfway through the movie there's a shower scene with 2 girls showing boo-bees. Horray for boo-bees. Those beautiful buzzing honey-making boo-bees.",negative
"The 2002 version of ""The Time Machine"" is just the latest in a string of terribly disappointing Hollywood remakes that fall flat on their face despite extravagant special effects. <br /><br />What a lousy, uninspired bland story, with no imagination. Why so totally rewrite such a wonderful sci-fi classic? Are today's movie audiences too hip for the H.G. Wells writing largely as is? The 1960 George Pal version told a much more endearing story, even with clunky low-budget effects, beach-party looking Eloi, and Morlocks that looked like Smurfs on steroids.<br /><br />The 2002 version must have H.G Wells turning in his grave:<br /><br />1. The idea that the time traveler is motivated by the desire to change the past and trapped in a time paradox is an old sci-fi cliché. This totally distracts from the love affair with Mara (what happened to Weena?!) that made the 1960 version so endearing. This sets an unfortunate and distractive tone early on that makes the whole movie dour. If Guy Pearce's character was so brilliant either he or his buddy Einstein would have realized the time paradox dilemma  not have it dawn on him 800,000 yrs in the future  from a Morlock no less, Doh!! What's wrong with time-traveling just for fun & adventure & curiosity -- as embodied in the 1960 version?<br /><br />2. Only if you saw the first movie would you realize at all what Pearce was doing with the time machine when you first see it. The George Pal film carefully explains the whole weird idea of 'travel' though a 4th dimension.<br /><br />3. The director goes out of his way to make Pearce's character look geeky, a worn out old stereotype of scientists. In the 1960 version Rod Taylor was a little nerdy too (at least around Weena) but managed to be swashbuckling, playful and charming.<br /><br />4. Among the key themes of the 60's version -- abandoned in the remake -- is the idea that endless war leads to the bifurcation of humanity. Blowing up the Moon to destroy humanity is pointless -- and doesn't do much for science literacy. For over 4 billion years the Moon has suffered vastly more powerful asteroid impacts, which would make any nuclear device look like a firecracker. Yes, science fiction needs artistic license, but this is just plain dumb and meaningless.<br /><br />5. Destroying the time machine is stupid too. Apparently our time traveler invented the neutron bomb to power this thing. Blowing up the machine to kill Morlocks is sort of a cop-out 'machina ex machina' Disappointingly, Pearce never comes back to the 1800s to tell his tale to his incredulous friends, a key part of the Wells story with the irony that in a week the time travels goes into the far future and back.<br /><br />6. Having Morlocks running around in the daytime totally ruins H.G. Wells' wonderfully spooky, ghoulish portrayal of them as shadowy creatures of the night. A true cinematic opportunity lost. Also, Wells depicted the Eloi as frail and childlike. These guys in the movie looked like they could take on Morlocks, if they weren't such big baby wusses.<br /><br />7. The one smart Morlock  kind of a bleached-out Star Wars Evil Emperor -- had potential, but is so lame and aloof he tells Pearce to take his machine and go home ?! Boy, what a dramatic high point! In the book the Morlocks steal the machine because they are so fascinated by it, and fight to keep it.<br /><br />8. The goof ball hologram at the N.Y. Public Library is too much. It makes light of the idea of human cannibalism. the 1960 version simply had the ""talking rings"" that delivered a chillingly somber eulogy for humankind. Derailed evolution is serious stuff.<br /><br />Its sad the wonderful effects in this movie can never make up for a weary contrived clunker of a script. Save the cost of a ticket & popcorn and go rent the DVD when it comes out (soon no doubt), at least you can fast-forward thought the dull parts, just like our time traveler.",negative
"Loved the film! This was my first glimpse at both Reese Witherspoon and Jason London, both of which are two of my favorites. Must say that no matter how many times I've seen this movie I can't help but tear up. One of those movies that should become a classic for all.",positive
"(mild spoilers)<br /><br />This movie was filthy and stupid. It could have done well without the constant humping and nude sex. It was also very profane. I think that they had a good story developing, but they messed up the whole thing by overdoing it.",negative
"i saw this with my with my kids they love it but i don't she did not get run overfed by a reindeer in the song, but what the heck in this crappy movie she got hit by the sleigh, it's like what the heck why why, when my kids heard the sinked they thought it was good but we they watched this they were like this ""daddy why did Granny"" thats how my kids say grandma, any way my kids said this ""daddy why did grandma get hit by a sleigh"" i told them that the movie was crappy they agreed, it's sad why would any one name there dog ""Doofas"" that's just dumb & when every one dressed in black that looked so so i mean Daphne looked like a dang emo goth girl every one looked like Goths & in the song they found grandma on the ground i think she died in the song, but in this weird crappy movie she was gone i think they should take this show off OK every one would love this i give this a 1 out of 10",negative
